shipper_page1,consignee_page1,bl_date_page1,goods_page1,invoice_page1,vessel_page1,lc_no_page1,dated_page1,with_by_page1,for_by_page1,signature_page1,shipper_page2,consignee_page2,bl_date_page2,goods_page2,invoice_page2,vessel_page2,lc_no_page2,dated_page2,signature_page2,lc_opener_page3,beneficiary_page3,amount_page3,lc_no_page3,dated_page3,swift_code_page3,bank_name_page3,for_by_page3,signature_page3
"Rodriguez, Figueroa and Sanchez",Brian Yang,2007-02-11,begin,INV-2824,performance Vessel,LC13278,1998-09-17,Brandon Hall,Kristina Baldwin,Jennifer Cole,Pacheco-Smith,Melissa Peterson,1980-07-31,dinner,INV-5506,source Vessel,LC42098,1992-11-27,James Howard,Munoz-Roman,"Stevens, Martinez and Nielsen",39256 USD,LC28289,1975-05-13,UTLSGBMECOS,Wyatt Inc Bank,Jesse Flowers,Henry Santiago
"Zuniga, Wong and Lynch",Nicholas Martin,1995-10-28,expect,INV-2679,wish Vessel,LC98696,2013-07-21,Colleen Nguyen,Amy Underwood,Jennifer Jones,"Walter, Edwards and Rios",Thomas Ellis,1988-01-10,chair,INV-9935,employee Vessel,LC21395,2020-09-11,Deborah Richards,"Ross, Robinson and Bright","Snyder, Campos and Callahan",87397 USD,LC65302,1980-05-26,ZVNTGBEY,Carlson-Mcdonald Bank,Juan Dunlap,Ashley Dyer
Mack-Peterson,Christopher Smith,2019-02-20,type,INV-1520,serve Vessel,LC13905,1987-12-04,Pamela Romero,Mario Skinner,Christina Brooks,Ryan PLC,Linda Burns,1977-08-12,woman,INV-2535,him Vessel,LC38657,2024-11-25,Anthony Humphrey,Miller Group,Spence PLC,40495 USD,LC76237,2022-02-11,EVPRGBKQ,"Brennan, Henderson and Lewis Bank",Monica Harris,Zachary Santos
Lam-Hayes,Austin Smith,2007-09-11,drug,INV-1434,per Vessel,LC83563,1984-12-26,Michael Brown,Andre Rivera,Diana Washington,"Anderson, Walls and Duncan",Richard Aguirre,1982-12-16,between,INV-4257,bill Vessel,LC95181,2014-11-05,Jeff Owens,"Brown, Valdez and Lucas",Powell LLC,81426 USD,LC64987,2024-06-24,HGGRGB2I,White-Ford Bank,Angela Morton,Annette Pearson
"Huff, Novak and House",Carol Tucker,1984-07-18,treatment,INV-4611,institution Vessel,LC68878,1973-12-28,Aaron Myers,Rachel Mitchell,Monica Logan,"Higgins, Moore and Phillips",Lauren Daniels,2020-11-25,former,INV-5557,art Vessel,LC10851,1973-05-31,Kathryn Farrell,Brown PLC,York Inc,30926 USD,LC65392,2010-06-29,VHMDGBPC,"Miller, Sandoval and Cunningham Bank",Dean Santiago,Derek Anderson
"Evans, Stewart and Walton",Jimmy Murillo,1976-10-21,back,INV-6574,note Vessel,LC46421,1984-07-03,Brandi Bailey,David Mitchell,Joshua Turner,"Rice, Contreras and Spencer",Ashley Humphrey,1987-12-31,business,INV-3547,voice Vessel,LC38221,1977-04-14,Brittney Campbell,Robbins and Sons,"Walters, Baker and Freeman",54118 USD,LC23396,1973-06-16,UNIBGBAV,Walsh LLC Bank,Jeremy Thornton,Ashley Landry
"Mckee, Gardner and Davenport",Brittany Anderson,1990-12-23,his,INV-2519,way Vessel,LC59797,2024-03-05,Amanda Howard,Mary Gomez,Shelly Dickson,"Moore, Spears and Hancock",Rita Keith,1971-09-09,country,INV-2584,since Vessel,LC57052,1992-08-09,Jennifer Santiago,"Cochran, Adams and Cobb",Reyes Inc,55082 USD,LC89131,2002-01-12,GOLJGBOO,Keller Group Bank,Sean Rasmussen,Martin Ross
"Rivera, Johnson and Wiley",Kevin Terrell,1972-08-08,boy,INV-5333,pick Vessel,LC15695,1999-07-29,Richard Graham,Mrs. Stephanie Lee,Jeffrey Meyer,"Mcdaniel, Bentley and Mclaughlin",Jeffrey Rush,1992-06-21,price,INV-8527,former Vessel,LC80284,2015-02-22,Michelle Evans,Estrada-Nguyen,"Phillips, Martinez and Fisher",26361 USD,LC59615,1995-10-20,TSJMGB9A,Mitchell-Jordan Bank,Mary Marshall,Daniel Kennedy
"Jackson, Miller and Robertson",Frances Cardenas,2021-02-11,easy,INV-2291,remember Vessel,LC82357,1991-02-15,Curtis Johnson,John Atkinson,Jason Soto,Higgins Group,David Douglas Jr.,2021-02-07,traditional,INV-5803,speech Vessel,LC92397,1977-04-03,Colleen Brock,"Holmes, Williams and Wright",Bryant Group,91070 USD,LC57400,2015-06-06,YOTXGB6192K,"Hensley, Cole and Walton Bank",Destiny Strickland,Mr. Jeremiah Reeves
Nelson LLC,Angela Hernandez,1996-01-25,rule,INV-4150,claim Vessel,LC19116,2018-01-27,Jason Rivera,Antonio Wall,Randy Shah,Gates PLC,Aaron Bell,2021-04-10,in,INV-1750,tonight Vessel,LC96673,1998-07-07,Morgan Marsh,Freeman LLC,Tucker-Price,39871 USD,LC47930,2015-07-08,XFOEGB8BZBF,"Patterson, Camacho and White Bank",Garrett Gibson,Shawn Ramirez
